HIP,RA,Dec,Vmag,pmRA,pmDE,Plx,RV
1499,4.67444862,-8.05300142,6.47,417.48,-143.93,43.02,-10.14
1501,4.67570361,43.79114120,6.10,24.00,0.90,4.93,1.00
1502,4.67734231,-43.23557065,6.33,49.53,-0.40,8.89,11.50
1562,4.85697730,-8.82392145,3.56,-14.70,-37.50,11.88,19.10
1575,4.92316566,40.72946069,6.35,-25.57,-17.96,5.71,-37.87
1587,4.96197947,-2.47888328,6.96,-7.86,36.26,9.82,
1595,4.98448197,16.25087103,6.60,-12.47,-11.74,6.15,18.39
1598,5.00170230,38.22739687,6.97,-141.80,-276.70,40.33,15.21
1599,5.01775052,-64.87479041,4.23,1707.45,1164.32,116.46,8.80
1600,5.01230423,-17.70043356,6.73,38.20,-6.75,4.45,-64.00
1602,5.02109822,6.29264823,6.81,-1.43,12.71,1.23,
1603,5.02152617,48.86544902,6.53,-3.24,-14.63,4.74,-3.00
1611,5.04396835,-13.06146223,6.85,52.04,12.16,6.14,
1630,5.10167651,30.93561358,5.89,14.22,-1.16,6.26,3.80
1639,5.12887060,48.96863284,6.46,8.19,-3.17,4.58,-11.40
1642,5.13750816,45.50892746,7.00,63.70,-17.80,8.77,-13.60
1644,5.14233794,56.55692300,6.73,45.37,-15.39,6.23,
1645,5.14942330,8.19027134,5.38,-4.18,9.73,8.00,14.88
1647,5.16265059,-69.62491310,5.50,-3.51,-0.12,10.25,10.50
1652,5.18150364,61.87959532,6.80,-2.25,-0.85,-0.31,-28.85
1657,5.18965919,32.91118651,5.79,-29.89,-17.27,5.21,-36.71
1660,5.20241466,-23.63022298,6.78,4.23,2.02,7.15,14.60
1669,5.22552106,32.97800554,6.90,5.80,-65.10,14.72,-2.00
1670,5.22746381,10.97690120,6.57,-40.20,-29.00,3.22,-17.80
1684,5.26782971,-2.90959901,6.92,87.24,4.12,12.36,-19.97
1686,5.28028766,37.96860317,5.16,58.88,-38.58,20.60,10.40
1706,5.36992048,-77.42687264,5.96,12.98,-7.23,5.72,20.80
1708,5.37999249,-28.98146883,5.18,32.90,-72.06,9.87,20.60
1715,5.39624700,38.18711983,6.86,34.27,-15.79,6.77,50.80
1725,5.42669110,67.82301538,6.55,-24.46,-4.37,5.69,-8.15
1728,5.44280717,-20.05802357,5.61,62.28,-12.80,3.70,28.90
1766,5.58867640,-50.99248673,6.68,70.45,47.89,10.94,
1772,5.60618151,13.48248843,6.25,62.30,22.80,6.50,4.45
1795,5.70016123,-39.26241414,6.75,100.53,-25.32,12.81,12.90
1799,5.70782705,29.45427965,6.95,80.82,-8.80,8.58,4.40
1803,5.71578446,-12.20943813,6.39,394.36,61.13,47.93,-2.53
1809,5.73902784,38.75428701,6.69,3.67,5.36,3.88,-23.16
1821,5.76832494,-15.94255628,6.43,75.00,28.80,2.96,-20.20
1830,5.80253336,-31.03577534,6.55,22.04,3.00,5.79,8.00
1849,5.84227475,-29.84725067,6.81,28.89,-39.85,4.34,4.10
1892,5.97158721,60.96141311,6.57,-119.20,-96.40,18.33,-8.00
1905,6.02193796,44.26473455,6.66,-9.04,-3.88,6.50,-13.60
1921,6.06523854,52.01991398,5.58,13.62,-3.92,3.26,-9.70
1939,6.12353807,-2.21906450,6.08,-34.80,-42.40,6.59,15.30
1948,6.15897939,14.31551416,6.48,14.33,-2.02,5.54,-15.83
1952,6.16532611,31.37305509,6.76,8.44,-11.31,6.04,4.80
1955,6.18673258,-51.04386687,6.81,545.43,-254.82,28.66,12.30
1960,6.19793946,61.83105752,5.38,13.87,-3.17,4.65,-4.00
1962,6.20681034,-18.47187786,6.90,-4.10,-64.69,2.81,-43.00
1982,6.27671131,53.04678574,5.72,25.86,0.62,6.32,3.40
2001,6.34211545,-39.26036989,6.91,30.62,-88.93,8.52,
2006,6.35086824,1.93969241,5.77,-15.10,-13.80,6.94,-5.40
2021,6.43780017,-77.25424559,2.82,2219.57,324.06,134.07,22.10
2024,6.42395538,54.99420550,6.78,-0.77,-2.09,0.21,-28.00
2025,6.42463225,7.69112176,6.77,39.15,-45.28,4.45,-12.36
2032,6.44004898,-27.71018982,6.88,40.66,-35.88,5.80,
2036,6.46349051,71.80712616,6.91,-1.50,1.82,1.02,-5.00
2058,6.51534065,20.14685143,6.67,-5.46,6.86,3.82,6.40
2072,6.55084089,-43.67982953,3.93,106.20,32.14,42.00,11.30
2074,6.55020136,56.77922902,6.71,-48.51,-45.80,5.55,20.30
2080,6.56873100,3.82575660,6.90,17.70,1.30,2.93,17.90
2081,6.57104571,-42.30598151,2.40,199.90,-396.20,38.50,75.20
2086,6.59063442,-18.69363250,6.24,21.68,-12.40,2.07,-0.30
2087,6.59088471,49.04899090,6.94,-1.94,-6.38,2.26,5.94
2100,6.65589128,-0.04953269,6.16,71.40,2.90,7.23,-22.70
2101,6.66444269,56.64120720,6.58,15.85,-0.19,5.60,0.00
2106,6.67501111,-69.30710993,6.98,54.39,-21.94,3.34,
2135,6.76905993,25.04206720,6.66,100.60,-17.29,12.97,-0.60
2142,6.78077979,80.05214080,6.53,23.47,-2.63,6.31,6.00
2151,6.80187466,49.98572539,6.95,4.49,-3.49,4.03,
2159,6.81128534,-25.54717034,5.99,32.30,-16.12,5.68,-3.00
2178,6.87945648,16.02548298,6.44,91.10,9.00,8.53,-3.20
2184,6.90656240,-20.13452441,6.78,58.79,5.33,9.09,10.80
2210,6.98207670,-33.00716708,4.86,-22.90,-50.10,7.22,12.10
2213,6.99360814,19.51403887,6.40,-21.57,-17.89,5.81,5.35
2219,7.01214583,17.89312479,5.01,115.01,19.88,6.17,5.31
2224,7.05293302,16.44506552,6.05,17.64,-13.71,4.28,-8.24
2225,7.05689073,44.39445199,5.18,85.13,-14.86,11.54,2.00
2227,7.05881288,-29.04027141,6.75,-46.17,-26.14,8.34,19.00
2235,7.08354832,10.18984766,6.05,35.90,-204.40,27.36,-9.90
2237,7.08790055,-20.33505057,6.44,-121.00,-116.20,31.06,6.90
2240,7.11050391,-39.91500236,5.42,137.23,-40.38,8.68,32.30
2243,7.11904577,32.43774469,6.87,-29.04,-19.72,4.51,-18.20
2246,7.13838475,-11.23724377,6.86,97.10,-9.60,14.46,-18.00
2256,7.17969687,-50.53285929,6.26,159.70,-4.69,7.98,5.40
2270,7.23609127,36.89969434,6.28,-3.82,-3.10,6.17,12.80
2304,7.34642065,-40.66543122,6.82,22.53,-7.01,3.08,
2312,7.37232221,-3.46927714,6.95,38.53,5.37,3.55,
2320,7.40054537,62.06415249,7.00,54.14,-6.08,7.19,0.62
2323,7.41277681,-2.84042420,6.89,91.60,-39.28,4.74,
2330,7.45417500,-32.11598168,6.59,12.95,-23.18,5.48,0.50
2337,7.46623887,-14.86410912,6.15,147.01,-33.37,23.39,3.90
2353,7.50982453,-3.95733189,5.72,8.80,-13.90,5.75,11.25
2355,7.53068761,29.75155669,5.20,43.33,-56.62,15.93,-10.30
2358,7.53618898,4.86011126,6.52,-18.29,14.66,15.36,16.10
2377,7.58305272,59.97755442,5.94,16.24,-3.27,4.24,-17.40
2381,7.59439188,-23.78768034,5.17,-26.03,13.93,18.83,1.90
2383,7.60882391,-48.21491040,5.67,134.20,-84.50,23.21,-58.90
2388,7.61593870,-40.93958587,6.18,-3.00,16.53,7.72,-3.60
2392,7.62211803,-39.51854717,6.60,54.43,-76.17,8.12,
2415,7.69646419,16.03761175,6.83,-29.00,-3.00,9.45,-17.00
2422,7.72949979,77.01940431,6.18,340.17,-34.73,25.97,14.30
2431,7.74954979,-10.08470015,6.86,-28.72,-20.36,6.72,14.00
2440,7.76654761,55.70261482,6.57,92.42,-85.23,7.27,-66.10
2455,7.80378056,43.94653955,6.76,5.55,-5.05,2.48,-6.40
2472,7.85408632,-48.80351439,4.76,140.60,20.20,18.88,-2.00
2474,7.85512589,66.51961732,6.18,18.72,-4.25,4.29,-9.50
2475,7.85683233,33.58164217,5.88,51.20,-14.50,8.61,3.40
2484,7.88611087,-62.95821764,4.36,83.90,-56.40,24.15,14.00
2487,7.88945045,-62.96556114,4.53,94.90,-48.60,19.36,9.80
2490,7.90036204,16.02091816,6.89,-3.65,-40.21,4.09,-7.22
2491,7.90563071,9.16120135,6.99,-12.09,-5.53,1.97,-8.12
2497,7.92148970,52.83952650,5.59,-55.89,-13.04,8.56,-51.52
2505,7.94316214,54.52228873,4.74,41.20,-16.54,8.64,-12.20
2517,7.97868187,19.64296504,6.87,3.66,2.85,3.00,-2.12
2537,8.04739482,53.81510380,6.94,-7.45,-2.89,1.09,-28.00
2539,8.05855119,34.99388587,6.74,11.90,-23.73,10.42,-2.00
2548,8.09909149,6.95546321,5.69,31.90,4.10,12.35,16.50
2553,8.11167640,43.49479392,6.69,20.45,-9.98,4.53,-15.00
2557,8.12500483,51.72825585,6.94,-12.92,-3.17,2.86,-6.33
2560,8.13298141,18.79488252,6.79,-13.65,-77.57,4.72,-26.19
2565,8.14402159,27.58075887,6.68,-3.87,-8.38,3.37,2.10
2568,8.14785798,20.29431643,5.38,136.60,-47.10,12.50,-12.98
2572,8.16411026,-25.35971437,6.72,-6.20,-54.10,7.48,
2573,8.16478059,23.19342677,6.84,127.40,22.90,7.26,-112.00
2576,8.17999872,38.84377096,6.90,-15.90,-20.90,4.75,-2.00
2578,8.18293786,-63.03149984,5.07,87.10,-51.50,21.95,7.70
